Temperature (Celsius),Species,strain_ID,Week,Plate,Growth
20,Rhizopogon idahoensis,RP05,4,4,8.811
20,Rhizopogon idahoensis,RP05,4,5,6.596
20,Rhizopogon idahoensis,RP05,4,6,8.202
20,Rhizopogon idahoensis,RP05,5,1,8.76
20,Rhizopogon idahoensis,RP05,5,2,12.506
20,Rhizopogon idahoensis,RP05,5,3,8.327
20,Rhizopogon idahoensis,RP05,5,4,11.896
20,Rhizopogon idahoensis,RP05,5,5,7.906
20,Rhizopogon idahoensis,RP05,5,6,10.552
20,Rhizopogon idahoensis,RP06,1,1,0.829
20,Rhizopogon idahoensis,RP06,1,2,0.687
20,Rhizopogon idahoensis,RP06,1,3,1.233
20,Rhizopogon idahoensis,RP06,1,4,1.003
20,Rhizopogon idahoensis,RP06,1,5,1.03
20,Rhizopogon idahoensis,RP06,1,6,0.849
20,Rhizopogon idahoensis,RP06,3,1,5.583
20,Rhizopogon idahoensis,RP06,3,2,5.147
20,Rhizopogon idahoensis,RP06,3,3,4.261
20,Rhizopogon idahoensis,RP06,3,4,6.964
20,Rhizopogon idahoensis,RP06,3,5,5.871
20,Rhizopogon idahoensis,RP06,3,6,5.413
20,Rhizopogon idahoensis,RP06,4,1,7.387
20,Rhizopogon idahoensis,RP06,4,2,5.585
20,Rhizopogon idahoensis,RP06,4,3,4.261
20,Rhizopogon idahoensis,RP06,4,4,8.621
20,Rhizopogon idahoensis,RP06,4,5,7.608
20,Rhizopogon idahoensis,RP06,4,6,7.165
20,Rhizopogon idahoensis,RP06,5,1,8.835
20,Rhizopogon idahoensis,RP06,5,2,5.878
20,Rhizopogon idahoensis,RP06,5,3,4.436
20,Rhizopogon idahoensis,RP06,5,4,10.223
20,Rhizopogon idahoensis,RP06,5,5,10.317
20,Rhizopogon idahoensis,RP06,5,6,8.665
20,Rhizopogon idahoensis,RP07,1,1,0.924
20,Rhizopogon idahoensis,RP07,1,2,0.967
20,Rhizopogon idahoensis,RP07,1,3,0.782
20,Rhizopogon idahoensis,RP07,1,4,1.17
20,Rhizopogon idahoensis,RP07,1,5,1.007
20,Rhizopogon idahoensis,RP07,1,6,1.054
20,Rhizopogon idahoensis,RP07,3,1,5.327
20,Rhizopogon idahoensis,RP07,3,2,4.891
20,Rhizopogon idahoensis,RP07,3,3,5.286
20,Rhizopogon idahoensis,RP07,3,4,6.835
20,Rhizopogon idahoensis,RP07,3,5,6.227
20,Rhizopogon idahoensis,RP07,3,6,6.58
20,Rhizopogon idahoensis,RP07,4,1,6.685
20,Rhizopogon idahoensis,RP07,4,2,5.058
20,Rhizopogon idahoensis,RP07,4,3,6.813
20,Rhizopogon idahoensis,RP07,4,4,8.729
20,Rhizopogon idahoensis,RP07,4,5,7.543
20,Rhizopogon idahoensis,RP07,4,6,9.035
20,Rhizopogon idahoensis,RP07,5,1,9.205
20,Rhizopogon idahoensis,RP07,5,2,6.363
20,Rhizopogon idahoensis,RP07,5,3,8.481
20,Rhizopogon idahoensis,RP07,5,4,11.019
20,Rhizopogon idahoensis,RP07,5,5,11.366
20,Rhizopogon idahoensis,RP07,5,6,13.267
